Unifier ID,Project Name,Description,County,Corridor,Category,Estimated Cost,Unfunded Amount,Status,Readiness,Design Percent,Modes,Year Needed,Fatalities 5yr,Serious Injuries 5yr,High Crash Location,Disadvantaged Community,Rural,Environmental Justice,Tags
UNF-1010,Newark Bicycle Boulevard and School Access,"Low-stress bicycle boulevard connecting neighborhoods, UD campus, and elementary schools with traffic calming and crossing improvements.",New Castle,SR 896,bike-ped,4100000,4100000,unfunded,construction-ready,90,bicycle; pedestrian,2025,1,9,false,false,false,false,bicycle; school; traffic-calming; vru; complete-streets
UNF-1011,Seaford US 13 Freight Bottleneck Relief,"Intersection capacity, turning-radius, and signal timing improvements for agricultural and industrial freight on US 13 in western Sussex.",Sussex,US 13,freight,15300000,15300000,unfunded,preliminary-design,40,freight; auto,2027,2,11,false,true,true,false,freight; bottleneck; rural; signal; agriculture
UNF-1012,Statewide Pavement Preservation Package FY26,Preventive pavement treatments on NHS and state routes to extend service life. Limited safety or equity components.,Kent,Statewide,pavement,28000000,28000000,unfunded,construction-ready,100,auto,2026,0,2,false,false,true,false,pavement; preservation; state-of-good-repair
UNF-1013,Claymont I-495 Local Access Safety Retrofit,"Pedestrian overpass approach lighting, barrier upgrades, and speed management on local streets feeding I-495 ramps.",New Castle,I-495,safety,8700000,8700000,unfunded,final-design,65,auto; pedestrian,2026,3,18,true,true,false,true,safety; pedestrian; lighting; speed-management; equity
UNF-1014,Milford SR 1 / SR 14 Systemic Lane Departure Countermeasures,"Rumble strips, high-friction surface treatment, and curve warning upgrades on a rural fatal crash corridor.",Kent,SR 1,safety,5300000,5300000,unfunded,construction-ready,85,auto,2025,7,22,true,false,true,false,lane-departure; rural; high-friction; systemic; safety
UNF-1015,Georgetown Downtown Multimodal Safety Project,"Road diet, on-street parking reconfiguration, ADA ramps, and pedestrian lighting in Georgetown's downtown core.",Sussex,US 113,complete-streets,6900000,6900000,unfunded,final-design,72,auto; pedestrian; bicycle,2026,2,16,true,true,true,true,road-diet; ada; downtown; equity; complete-streets; safety
UNF-2016,T202710629 DART Bus Fleet Replacement — Elsmere Division,"Replace diesel buses with low- and no-emission transit buses and related equipment at the DART Elsmere division, including depot charging.",New Castle,SR 52,transit,14680000,13087923,partially-funded,planning,9,transit,2028,1,17,true,true,false,false,transit; bus-fleet; low-no; zero-emission; garage
UNF-2017,T202210666 SR 2 Bridge Preservation — Viola Northbound,"Deck overlay, joint replacement, and scour countermeasures on the SR 2 bridge near Viola (MP 32.3).",Kent,SR 2,bridge,12090000,9081394,unfunded,row,52,auto; freight,2026,0,3,false,false,true,false,bridge; preservation; state-of-good-repair
UNF-2018,T202310703 Hartly Community Charging Hub — SR 72,Public DC fast charging adjacent to SR 72 serving Hartly residents without home charging.,Kent,SR 72,ev-charging,1130000,1116728,unfunded,planning,11,auto,2026,1,17,true,false,true,false,ev; equity; community; charging
UNF-2019,T202410740 Red Lion Adaptive Signal System — SR 42,"Adaptive signal control, detection, and communications along SR 42 MP 39.3 in Red Lion.",New Castle,SR 42,signals,2890000,2525171,unfunded,preliminary-design,21,auto; transit,2026,1,11,false,false,false,true,signal; operations; congestion; safety
UNF-2020,T202510777 SR 71 Intersection Safety Package — New Castle Northbound,"Systemic safety package at SR 71 MP 12.0 serving New Castle: signal upgrades, left-turn protection, lighting, and pedestrian intervals.",New Castle,SR 71,safety,9240000,7762081,unfunded,planning,13,auto; pedestrian,2025,5,22,true,true,false,false,intersection; signal; safety; pedestrian; high-crash
UNF-2021,T202610814 SR 20 Pavement Rehab — Harrington FY27,Mill and overlay of deteriorated SR 20 lanes through Harrington (MP 28.2) to restore ride quality. Limited safety or equity components.,Kent,SR 20,pavement,6650000,5763563,unfunded,row,42,auto,2028,1,10,false,true,false,false,pavement; preservation; state-of-good-repair
UNF-2022,T202710851 Milton Sidewalk and Crossing Gap Closure — SR 92,"Fill sidewalk gaps and add high-visibility crossings along SR 92 MP 20.6 in Milton, with ADA curb ramps.",Sussex,SR 92,bike-ped,1920000,1638028,unfunded,preliminary-design,34,pedestrian; bicycle,2029,1,17,true,true,true,false,pedestrian; ada; crossing; vru
UNF-2023,T202210888 SR 141 Lane Departure Countermeasures — Frankford,"Rumble strips, high-friction surface treatment, and curve warning upgrades on SR 141 MP 31.0 near Frankford.",Sussex,SR 141,safety,9050000,7627937,unfunded,row,49,auto,2025,0,1,false,false,true,false,lane-departure; rural; high-friction; systemic; safety
UNF-2024,T202310925 SR 7 Bridge Preservation — Hockessin Northbound,"Deck overlay, joint replacement, and scour countermeasures on the SR 7 bridge near Hockessin (MP 23.4).",New Castle,SR 7,bridge,36280000,35740226,unfunded,construction-ready,99,auto; freight,2027,1,16,true,false,false,false,bridge; preservation; state-of-good-repair
UNF-2025,T202410962 DART Bus Maintenance Facility Rehab — Bethel,"Rehabilitate the DART bus maintenance garage in Bethel, including lifts, bus wash, and charging/fueling for the transit fleet.",Sussex,SR 20,transit,33660000,29170040,unfunded,preliminary-design,30,transit,2026,1,15,true,true,true,false,transit; bus-fleet; garage; facility; low-no
UNF-2026,T202510999 SR 1 Pavement Rehab — Bethel Group A,Mill and overlay of deteriorated SR 1 lanes through Bethel (MP 22.5) to restore ride quality. Limited safety or equity components.,Sussex,SR 1,pavement,6690000,6049073,unfunded,final-design,69,auto,2029,0,10,false,false,false,false,pavement; preservation; state-of-good-repair
UNF-2027,T202611036 Christiana DART Stop and Access Improvements — SR 10,"Accessible pads, shelters, lighting, and sidewalk connections to DART stops on SR 10 in Christiana.",New Castle,SR 10,transit,4780000,4393264,unfunded,planning,18,transit; pedestrian,2027,0,10,false,true,true,false,transit; equity; pedestrian; ada
UNF-2028,T202711073 US 202 Pavement Rehab — Viola Group B,Mill and overlay of deteriorated US 202 lanes through Viola (MP 14.3) to restore ride quality. Limited safety or equity components.,Kent,US 202,pavement,17240000,13577349,unfunded,row,52,auto,2029,1,15,true,true,true,false,pavement; preservation; state-of-good-repair
UNF-2029,T202211110 SR 141 Concrete Pavement Restoration — Bethany Beach,"Slab repair, diamond grinding, and joint resealing on SR 141 MP 20.4 in Sussex County near Bethany Beach.",Sussex,SR 141,pavement,18730000,17926675,unfunded,final-design,63,auto,2025,0,3,false,true,true,false,pavement; concrete; preservation
UNF-2030,T202311147 SR 52 Pavement Rehab — Kenton FY27,Mill and overlay of deteriorated SR 52 lanes through Kenton (MP 19.0) to restore ride quality. Limited safety or equity components.,Kent,SR 52,pavement,18550000,18387687,partially-funded,final-design,84,auto,2027,0,9,false,false,true,true,pavement; preservation; state-of-good-repair
UNF-2031,T202411184 SR 1 Lane Departure Countermeasures — Kenton,"Rumble strips, high-friction surface treatment, and curve warning upgrades on SR 1 MP 1.8 near Kenton.",Kent,SR 1,safety,6950000,6885031,unfunded,final-design,83,auto,2029,4,19,true,false,true,false,lane-departure; rural; high-friction; systemic; safety
UNF-2032,T202511221 Edgemoor Complete Streets — SR 9 Town Center,"Lane reallocation, bicycle facilities, and pedestrian lighting on SR 9 through Edgemoor town center (Phase 1).",New Castle,SR 9,complete-streets,4720000,3651984,unfunded,final-design,61,auto; pedestrian; bicycle,2029,5,24,true,false,false,true,complete-streets; bike-ped; equity; safety
UNF-2033,T202611258 Bethany Beach Local Road Safety Plan,Data-driven local road safety plan for Bethany Beach identifying a high-injury network and proven countermeasures.,Sussex,SR 71,planning,820000,629061,unfunded,final-design,66,auto; pedestrian,2027,1,5,false,false,false,true,safety-plan; data-driven; planning
UNF-2034,T202711295 New Castle County Freight and Multimodal Plan Update,"Update the New Castle County freight and multimodal plan, including bottleneck screening on SR 202 and equity analysis.",New Castle,SR 202,planning,1390000,1285373,unfunded,construction-ready,98,auto; freight; transit,2029,1,8,false,true,false,true,planning; freight; multimodal; data-driven
UNF-2035,T202211332 SR 10 Pavement Rehab — Clayton Phase 2,Mill and overlay of deteriorated SR 10 lanes through Clayton (MP 15.5) to restore ride quality. Limited safety or equity components.,Kent,SR 10,pavement,14200000,13779510,partially-funded,row,52,auto,2029,0,0,false,false,false,false,pavement; preservation; state-of-good-repair
UNF-2036,T202311369 Little Creek Adaptive Signal System — SR 896,"Adaptive signal control, detection, and communications along SR 896 MP 44.8 in Little Creek.",Kent,SR 896,signals,3490000,3397721,unfunded,planning,14,auto; transit,2026,0,13,false,true,false,true,signal; operations; congestion; safety
UNF-2037,T202411406 Kenton Roundabout Conversion — SR 404,Convert a high-crash SR 404 intersection in Kenton (MP 12.2) to a single-lane roundabout with pedestrian crossings.,Kent,SR 404,safety,9700000,8650787,unfunded,row,50,auto; pedestrian,2026,4,19,true,true,true,false,roundabout; intersection; safety; pedestrian
UNF-2038,T202511443 Smyrna Sidewalk and Crossing Gap Closure — SR 18,"Fill sidewalk gaps and add high-visibility crossings along SR 18 MP 27.0 in Smyrna, with ADA curb ramps.",Kent,SR 18,bike-ped,7090000,5907719,unfunded,construction-ready,89,pedestrian; bicycle,2028,5,32,true,true,true,false,pedestrian; ada; crossing; vru
UNF-2039,T202611480 SR 404 Intersection Safety Package — Gumboro Phase 2,"Systemic safety package at SR 404 MP 25.2 serving Gumboro: signal upgrades, left-turn protection, lighting, and pedestrian intervals.",Sussex,SR 404,safety,10960000,8669486,unfunded,final-design,70,auto; pedestrian,2027,3,14,true,false,false,false,intersection; signal; safety; pedestrian; high-crash
UNF-2040,T202711517 I-295 Concrete Pavement Restoration — Odessa,"Slab repair, diamond grinding, and joint resealing on I-295 MP 11.6 in New Castle County near Odessa.",New Castle,I-295,pavement,16360000,13809474,partially-funded,row,50,auto,2026,1,17,true,false,false,true,pavement; concrete; preservation
UNF-2041,T202211554 US 113 Drainage and Flood Mitigation — Delmar,Stormwater upgrades and roadway raising where US 113 MP 30.5 floods near Delmar.,Sussex,US 113,resilience,30780000,26440103,unfunded,preliminary-design,29,auto,2028,1,16,true,false,true,false,flood; drainage; resilience
UNF-2042,T202311591 SR 72 Pavement Rehab — Bethany Beach Group A,Mill and overlay of deteriorated SR 72 lanes through Bethany Beach (MP 17.0) to restore ride quality. Limited safety or equity components.,Sussex,SR 72,pavement,10030000,8080644,unfunded,construction-ready,93,auto,2027,0,6,false,false,false,false,pavement; preservation; state-of-good-repair
UNF-2043,T202411628 Rising Sun Complete Streets — SR 42 Town Center,"Lane reallocation, bicycle facilities, and pedestrian lighting on SR 42 through Rising Sun town center (Northbound).",Kent,SR 42,complete-streets,10320000,9276846,unfunded,final-design,75,auto; pedestrian; bicycle,2028,4,26,true,true,false,false,complete-streets; bike-ped; equity; safety
UNF-2044,T202511665 SR 58 Concrete Pavement Restoration — Pike Creek,"Slab repair, diamond grinding, and joint resealing on SR 58 MP 11.1 in New Castle County near Pike Creek.",New Castle,SR 58,pavement,9820000,9687751,unfunded,planning,6,auto,2025,1,11,false,false,false,false,pavement; concrete; preservation
UNF-2045,T202611702 New Castle County Freight and Multimodal Plan Update,"Update the New Castle County freight and multimodal plan, including bottleneck screening on SR 71 and equity analysis.",New Castle,SR 71,planning,1310000,1252468,unfunded,row,51,auto; freight; transit,2028,1,6,false,false,false,true,planning; freight; multimodal; data-driven
UNF-2046,T202711739 Magnolia School Zone and Speed Management,"School-zone flashers, gateway treatments, and speed management on local streets feeding SR 4 in Magnolia.",Kent,SR 4,safety,1000000,819295,unfunded,preliminary-design,24,auto; pedestrian,2025,0,6,false,false,true,false,safety; school; speed-management; lighting
UNF-2047,T202211776 SR 141 Pavement Rehab — Bear FY26,Mill and overlay of deteriorated SR 141 lanes through Bear (MP 34.4) to restore ride quality. Limited safety or equity components.,New Castle,SR 141,pavement,19870000,17974830,unfunded,planning,14,auto,2027,0,2,false,false,false,false,pavement; preservation; state-of-good-repair
UNF-2048,T202311813 Dewey Beach School Zone and Speed Management,"School-zone flashers, gateway treatments, and speed management on local streets feeding SR 36 in Dewey Beach.",Sussex,SR 36,safety,4450000,4243547,partially-funded,row,45,auto; pedestrian,2025,6,31,true,true,false,false,safety; school; speed-management; lighting
UNF-2049,T202411850 Kenton Truck Route Geometric Improvements — SR 141,Widen turning radii and upgrade shoulders for freight movements on SR 141 MP 3.1 near Kenton.,Kent,SR 141,freight,15610000,15469862,unfunded,row,52,freight; auto,2027,1,12,false,true,true,false,freight; geometry; shoulders
UNF-2050,T202511887 Hartly Sidewalk and Crossing Gap Closure — SR 7,"Fill sidewalk gaps and add high-visibility crossings along SR 7 MP 23.2 in Hartly, with ADA curb ramps.",Kent,SR 7,bike-ped,6550000,5330018,unfunded,row,58,pedestrian; bicycle,2028,1,6,false,false,true,false,pedestrian; ada; crossing; vru
UNF-2051,T202611924 DART Bus Maintenance Facility Rehab — Ellendale,"Rehabilitate the DART bus maintenance garage in Ellendale, including lifts, bus wash, and charging/fueling for the transit fleet.",Sussex,SR 58,transit,7150000,5556260,unfunded,final-design,69,transit,2029,1,14,false,false,true,false,transit; bus-fleet; garage; facility; low-no
UNF-2052,T202711961 US 202 Pavement Rehab — Smyrna Southbound,Mill and overlay of deteriorated US 202 lanes through Smyrna (MP 2.6) to restore ride quality. Limited safety or equity components.,Kent,US 202,pavement,8050000,6934297,unfunded,construction-ready,99,auto,2025,0,12,false,true,false,true,pavement; preservation; state-of-good-repair
UNF-2053,T202211998 Delaware City Complete Streets — US 202 Town Center,"Lane reallocation, bicycle facilities, and pedestrian lighting on US 202 through Delaware City town center (Phase 1).",New Castle,US 202,complete-streets,11160000,8410807,unfunded,final-design,75,auto; pedestrian; bicycle,2026,2,9,true,true,false,true,complete-streets; bike-ped; equity; safety
UNF-2054,T202312035 Delmar DART Stop and Access Improvements — SR 4,"Accessible pads, shelters, lighting, and sidewalk connections to DART stops on SR 4 in Delmar.",Sussex,SR 4,transit,1350000,1093121,partially-funded,final-design,77,transit; pedestrian,2025,1,10,false,false,true,true,transit; equity; pedestrian; ada
UNF-2055,T202412072 SR 2 Drainage and Flood Mitigation — Rising Sun,Stormwater upgrades and roadway raising where SR 2 MP 40.5 floods near Rising Sun.,Kent,SR 2,resilience,8370000,7554132,unfunded,planning,7,auto,2025,1,15,true,false,true,false,flood; drainage; resilience
UNF-2056,T202512109 US 301 Bridge Preservation — Christiana Group A,"Deck overlay, joint replacement, and scour countermeasures on the US 301 bridge near Christiana (MP 44.6).",New Castle,US 301,bridge,21750000,19698731,unfunded,row,55,auto; freight,2029,0,10,false,false,false,true,bridge; preservation; state-of-good-repair
UNF-2057,T202612146 SR 8 Lane Departure Countermeasures — Milford,"Rumble strips, high-friction surface treatment, and curve warning upgrades on SR 8 MP 37.1 near Milford.",Kent,SR 8,safety,6900000,6712745,unfunded,row,42,auto,2026,0,3,false,false,false,false,lane-departure; rural; high-friction; systemic; safety
UNF-2058,T202712183 US 13 Pavement Rehab — Newark Group B,Mill and overlay of deteriorated US 13 lanes through Newark (MP 28.8) to restore ride quality. Limited safety or equity components.,New Castle,US 13,pavement,11390000,9207966,unfunded,row,52,auto,2026,1,12,false,true,false,false,pavement; preservation; state-of-good-repair
UNF-2059,T202212220 Greenville Road Diet and Downtown Safety — SR 8,"Road diet, on-street parking reconfiguration, ADA ramps, and pedestrian lighting in Greenville along SR 8.",New Castle,SR 8,complete-streets,9420000,7111337,partially-funded,row,36,auto; pedestrian; bicycle,2028,0,6,false,false,false,true,road-diet; ada; downtown; complete-streets; safety
UNF-2060,T202312257 Harrington School Zone and Speed Management,"School-zone flashers, gateway treatments, and speed management on local streets feeding SR 26 in Harrington.",Kent,SR 26,safety,1400000,1380349,unfunded,final-design,80,auto; pedestrian,2026,3,16,true,false,false,false,safety; school; speed-management; lighting
UNF-2061,T202412294 SR 10 Lane Departure Countermeasures — Viola,"Rumble strips, high-friction surface treatment, and curve warning upgrades on SR 10 MP 27.7 near Viola.",Kent,SR 10,safety,3540000,2700628,unfunded,row,58,auto,2028,4,28,true,false,true,true,lane-departure; rural; high-friction; systemic; safety
UNF-2062,T202512331 SR 54 Drainage and Flood Mitigation — Felton,Stormwater upgrades and roadway raising where SR 54 MP 22.1 floods near Felton.,Kent,SR 54,resilience,9130000,8703216,unfunded,construction-ready,100,auto,2029,0,13,false,true,true,true,flood; drainage; resilience
UNF-2063,T202612368 SR 54 Intersection Safety Package — Newark Group A,"Systemic safety package at SR 54 MP 39.1 serving Newark: signal upgrades, left-turn protection, lighting, and pedestrian intervals.",New Castle,SR 54,safety,10510000,9685846,partially-funded,construction-ready,91,auto; pedestrian,2029,1,11,false,true,false,true,intersection; signal; safety; pedestrian; high-crash
UNF-2064,T202712405 Port Penn School Zone and Speed Management,"School-zone flashers, gateway treatments, and speed management on local streets feeding SR 1 in Port Penn.",New Castle,SR 1,safety,3780000,3028085,unfunded,row,45,auto; pedestrian,2027,2,18,true,true,false,true,safety; school; speed-management; lighting
UNF-2065,T202212442 Clayton Adaptive Signal System — SR 26,"Adaptive signal control, detection, and communications along SR 26 MP 44.6 in Clayton.",Kent,SR 26,signals,1900000,1431452,unfunded,row,55,auto; transit,2025,1,5,false,true,false,true,signal; operations; congestion; safety
UNF-2066,T202312479 Elsmere School Zone and Speed Management,"School-zone flashers, gateway treatments, and speed management on local streets feeding SR 141 in Elsmere.",New Castle,SR 141,safety,4180000,3882308,unfunded,construction-ready,85,auto; pedestrian,2026,5,29,true,true,false,false,safety; school; speed-management; lighting
UNF-2067,T202412516 Milford Community Charging Hub — SR 14,Public DC fast charging adjacent to SR 14 serving Milford residents without home charging.,Sussex,SR 14,ev-charging,4110000,3359960,partially-funded,row,38,auto,2025,1,10,false,true,true,true,ev; equity; community; charging
UNF-2068,T202512553 Frederica Sidewalk and Crossing Gap Closure — SR 8,"Fill sidewalk gaps and add high-visibility crossings along SR 8 MP 43.3 in Frederica, with ADA curb ramps.",Kent,SR 8,bike-ped,1380000,1325469,unfunded,final-design,82,pedestrian; bicycle,2025,2,16,true,true,false,false,pedestrian; ada; crossing; vru
UNF-2069,T202612590 SR 202 Concrete Pavement Restoration — Stanton,"Slab repair, diamond grinding, and joint resealing on SR 202 MP 40.7 in New Castle County near Stanton.",New Castle,SR 202,pavement,20840000,18946740,unfunded,preliminary-design,28,auto,2027,0,0,false,false,false,false,pavement; concrete; preservation
UNF-2070,T202712627 US 202 Concrete Pavement Restoration — Bellefonte,"Slab repair, diamond grinding, and joint resealing on US 202 MP 6.5 in New Castle County near Bellefonte.",New Castle,US 202,pavement,11650000,10170454,unfunded,row,43,auto,2025,1,11,false,false,false,true,pavement; concrete; preservation
UNF-2071,T202212664 SR 52 Pavement Rehab — Delaware City Northbound,Mill and overlay of deteriorated SR 52 lanes through Delaware City (MP 2.7) to restore ride quality. Limited safety or equity components.,New Castle,SR 52,pavement,8090000,7866994,unfunded,row,38,auto,2026,1,9,false,true,false,false,pavement; preservation; state-of-good-repair
UNF-2072,T202312701 Smyrna Slope Stabilization — SR 299 MP 2.6,"Embankment repair, drainage, and slope stabilization on SR 299 near Smyrna after repeated washouts.",Kent,SR 299,resilience,4910000,3858685,unfunded,construction-ready,93,auto,2026,1,14,false,true,false,false,slope; drainage; resilience; geotech
UNF-2073,T202412738 SR 8 ITS Camera and Fiber — Clayton Group A,"CCTV, fiber interconnect, and TMC integration on SR 8 MP 26.1 serving Clayton and Kent County operations.",Kent,SR 8,signals,1460000,1193420,unfunded,construction-ready,90,auto,2026,1,17,true,false,true,false,its; operations; congestion; signal
UNF-2074,T202512775 DART Bus Maintenance Facility Rehab — Red Lion,"Rehabilitate the DART bus maintenance garage in Red Lion, including lifts, bus wash, and charging/fueling for the transit fleet.",New Castle,US 301,transit,18620000,18309473,unfunded,final-design,73,transit,2029,0,5,false,false,false,false,transit; bus-fleet; garage; facility; low-no
UNF-2075,T202612812 SR 141 Concrete Pavement Restoration — Odessa,"Slab repair, diamond grinding, and joint resealing on SR 141 MP 23.0 in New Castle County near Odessa.",New Castle,SR 141,pavement,9460000,8208687,unfunded,construction-ready,96,auto,2028,1,16,true,true,false,false,pavement; concrete; preservation
UNF-2076,T202712849 Laurel Sidewalk and Crossing Gap Closure — I-95,"Fill sidewalk gaps and add high-visibility crossings along I-95 MP 27.4 in Laurel, with ADA curb ramps.",Sussex,I-95,bike-ped,4990000,4697063,unfunded,construction-ready,88,pedestrian; bicycle,2025,2,15,true,false,true,false,pedestrian; ada; crossing; vru
UNF-2077,T202212886 SR 16 Guardrail and End Treatment Upgrade — Bellefonte,Replace outdated guardrail and end treatments on SR 16 MP 11.7 near Bellefonte to current MASH standards.,New Castle,SR 16,safety,1310000,1030231,unfunded,row,57,auto,2026,0,7,false,false,false,false,guardrail; safety; roadside; systemic
UNF-2078,T202312923 SR 92 Freight Bottleneck Relief — Delaware City,"Intersection capacity, turning-radius, and signal timing improvements for industrial freight on SR 92 MP 18.0 in Delaware City.",New Castle,SR 92,freight,27910000,25505906,unfunded,preliminary-design,30,freight; auto,2027,1,10,false,true,false,true,freight; bottleneck; signal; reliability
UNF-2079,T202412960 SR 202 Freight Bottleneck Relief — Frankford,"Intersection capacity, turning-radius, and signal timing improvements for industrial freight on SR 202 MP 43.8 in Frankford.",Sussex,SR 202,freight,11040000,8956421,unfunded,planning,17,freight; auto,2025,1,8,false,false,true,false,freight; bottleneck; signal; reliability
UNF-2080,T202512997 Magnolia Truck Route Geometric Improvements — SR 141,Widen turning radii and upgrade shoulders for freight movements on SR 141 MP 24.4 near Magnolia.,Kent,SR 141,freight,12650000,10803037,partially-funded,construction-ready,97,freight; auto,2026,1,5,false,false,true,true,freight; geometry; shoulders
UNF-2081,T202613034 SR 52 Concrete Pavement Restoration — Dewey Beach,"Slab repair, diamond grinding, and joint resealing on SR 52 MP 11.1 in Sussex County near Dewey Beach.",Sussex,SR 52,pavement,9060000,7891332,unfunded,final-design,74,auto,2025,1,17,true,false,true,false,pavement; concrete; preservation
UNF-2082,T202713071 Gumboro Sidewalk and Crossing Gap Closure — I-95,"Fill sidewalk gaps and add high-visibility crossings along I-95 MP 37.0 in Gumboro, with ADA curb ramps.",Sussex,I-95,bike-ped,6550000,5590360,unfunded,row,45,pedestrian; bicycle,2028,1,13,false,false,true,false,pedestrian; ada; crossing; vru
UNF-2083,T202213108 Arden Sidewalk and Crossing Gap Closure — SR 9,"Fill sidewalk gaps and add high-visibility crossings along SR 9 MP 20.1 in Arden, with ADA curb ramps.",New Castle,SR 9,bike-ped,3950000,3107808,unfunded,construction-ready,89,pedestrian; bicycle,2025,6,30,true,false,false,true,pedestrian; ada; crossing; vru
UNF-2084,T202313145 Townsend DART Stop and Access Improvements — SR 9,"Accessible pads, shelters, lighting, and sidewalk connections to DART stops on SR 9 in Townsend.",New Castle,SR 9,transit,6300000,4903018,unfunded,construction-ready,95,transit; pedestrian,2027,1,9,false,false,false,true,transit; equity; pedestrian; ada
UNF-2085,T202413182 SR 42 Concrete Pavement Restoration — Christiana,"Slab repair, diamond grinding, and joint resealing on SR 42 MP 21.8 in New Castle County near Christiana.",New Castle,SR 42,pavement,24690000,20577086,partially-funded,construction-ready,88,auto,2026,0,13,false,true,false,false,pavement; concrete; preservation
UNF-2086,T202513219 Frederica Community Charging Hub — SR 42,Public DC fast charging adjacent to SR 42 serving Frederica residents without home charging.,Kent,SR 42,ev-charging,3150000,2741322,unfunded,row,53,auto,2028,1,14,false,false,true,true,ev; equity; community; charging
UNF-2087,T202613256 SR 7 Bridge Preservation — Middletown FY27,"Deck overlay, joint replacement, and scour countermeasures on the SR 7 bridge near Middletown (MP 36.5).",New Castle,SR 7,bridge,5780000,4442310,unfunded,final-design,81,auto; freight,2028,1,14,false,false,false,false,bridge; preservation; state-of-good-repair
UNF-2088,T202713293 DART Bus Fleet Replacement — Little Creek Division,"Replace diesel buses with low- and no-emission transit buses and related equipment at the DART Little Creek division, including depot charging.",Kent,SR 52,transit,36100000,34939508,unfunded,row,46,transit,2029,0,5,false,true,true,true,transit; bus-fleet; low-no; zero-emission; garage
UNF-2089,T202213330 Bethany Beach DART Stop and Access Improvements — SR 82,"Accessible pads, shelters, lighting, and sidewalk connections to DART stops on SR 82 in Bethany Beach.",Sussex,SR 82,transit,3980000,3478114,unfunded,row,55,transit; pedestrian,2029,0,13,false,true,true,false,transit; equity; pedestrian; ada
UNF-2090,T202313367 Viola Sidewalk and Crossing Gap Closure — SR 58,"Fill sidewalk gaps and add high-visibility crossings along SR 58 MP 7.0 in Viola, with ADA curb ramps.",Kent,SR 58,bike-ped,4560000,4541154,partially-funded,planning,14,pedestrian; bicycle,2026,3,24,true,true,false,true,pedestrian; ada; crossing; vru
